,song_title,artist,genre,popularity
316,Eisbär 2021,Lazy Lizzard Gang,,28
317,Iron 2021,Woodkid,,28
318,LCRP 2021,Koam,,28
319,Kumzaltz 2021,Zaltz Band,,28
320,phonoPhantomatics (2021),Cezary Duchnowski,,28
321,crave -2021-,オルタンシア,,28
322,Yess! 2021,Folk & Røvere,,28
323,Rehearsal 2021,Putrid Future,,28
324,Fuck 2021,Yassin,,28
325,[2021] MEGAFAUNA,doin’ fine,,28
326,Slushwave 2021,days of blue,,28
327,ファイナルボーイフレンド (2021),ハンブレッダーズ,,28
328,Proud /2021,Natalie Holmes,,28
329,Vicarious /2021,Natalie Holmes,,28
330,Erdgeist 2021,Thy Catafalque,,28
331,RØØTS 2021,Andy the Core,,28
332,Roots 2021,Andy the Core,,28
333,Denedim (2021),Tepki,,28
334,Sbohem 2021,Pokáč,,28
335,winter 2021,tommy7,,28
336,31 (2021),The Michael Character,,28
337,Christmas (2021),TCLB,,28
338,Sindi 2021,Gracenote,,28
339,Halloween 2021,Ihcilon,,28
340,Q4 2021,BAP.,,28
341,Decalcomanie 2021,MAMAMOO,,28
342,76 [2021],Alan Tomlinson,,28
343,こっちおいでshowtime!!2021,てぃんく♪,,28
344,Beerus 2021,B0UNC3,,28
345,кимоно (2021),zhanulka,,28
346,"Wann, 2021",[unknown],,28
347,Shortages 2021,Blind Equation,,28
348,Друг 2021,Труд,,28
349,Year After Year,Portia Nelson,,28
350,Year After Year,Idaho,,28
351,Year to Year,Yaeji,,28
352,Year After Year,The Bad,,28
353,Year After Year,Angu,,28
354,Year After Year,Jenica Rayne,,28
355,Year to Year,Cepia,,28
356,Year by Year,Opposite Force,,28
357,Year by Year,Later,,28
358,Year After Year,Kieran Halpin,,28
359,Year to Year,Natural Ites,,28
360,Year After Year,Without Words,,28
361,Year After Year,Wakes,,28
362,Year by Year,High Spy,,28
363,Year to Year,Stephen Sorensen,,28
364,Year After Year,Bobby Short,,28
365,Year After Year,BORDERWARS,,28
366,Year After Year,The Finklestinks,,28
367,Year After Year,Clayton Love,,28
368,Year by Year,Dlugokecki,,28
369,Year After Year,Nancy Steele,,28
370,Year After Year,NanoStorm,,28
371,Year After Year,Linda Perry,,28
372,Year to Year,Astronaut Husband,,28
373,Year After Year,Flamborough Head,,28
374,Year After Year,Flamborough Head,,28
375,Year After Year,Flamborough Head,,28
376,Year by Year,Backyard Babies,,28
377,Year After Year,Sweet Baby,,28
378,Year After Year,Johnny Mathis,,28
379,Year After Year,Johnny Mathis,,28
380,Year After Year,The Griswolds,,28
381,Year After Year,Sweet Baby,,28
382,year after year,FOR THE CVLTVRE,,28
383,Year by Year,Backyard Babies,,28
384,Year by Year,Backyard Babies,,28
385,Year After Year,Randy Crawford,,28
386,Year After Year,Janko Nilović,,28
387,year after year,haircuts for men,,28
388,Year By Year,Carl Brown,,28
389,Year,The Semibeings,,28
390,Year,The Higher Burning Fire,,28
391,Year,abrasions,,28
392,Year,your neighbour the liar,,28
393,Year,Douglas Kay,,28
394,Year,The Nailings Stolen Colors,,28
395,Year,Memento Mori,,28
396,Year,Northgate,,28
397,Year,JAMES ♥,,28
398,YEAR,Miles Sutton,,28
399,Year,Ross Jennings,,28
400,Year,Ben Kunder,,28
401,Year,M D M P,,28
402,Year,Veerus,,28
403,Year,Tim Holehouse,,28
404,year,どついたるねん,,28
405,year,Project AER,,28
406,Year,octi,,28
407,year,Gorse,,28
408,Year,Ben Beal,,28
409,Year,The Big Idea,,28
410,21 Seconds of Pentecostal New Year’s Celebrations for the End of 2021~!,Ninja McTits,,27
411,"Another Year, Another Year, Another Year.",natriums,,27
412,Rise & Fall 2021 (2021 Remastered),Dave Rodgers,,27
413,Title 2021 (タイトル画面 2021),渡邊紀如,,27
414,따끔 2021 (A little bit 2021),MAMAMOO,,27
415,행복하지마 2021 (Don’t Be Happy 2021),MAMAMOO,,27
416,Neujahrsgruß/ New Year´s Address,Wiener Philharmoniker,,26
417,"Year Waxing, Year Waning",Appendix Out,,26
418,"This Year, Next Year",Oysterband,,26
419,This Year Next Year,Another Pretty Face,,26
420,"This Year, Next Year",Oysterband,,26
421,"This Year, Next Year",T.V. Smith,,26
422,All Year Next Year,Supersci,,26
423,New New Year Year,Lou & Peter Berryman,,26
424,Year In Year Out,Milan Svoboda Quartet,,26
425,Year by Year (Single),High Spy,,26
426,"Passing year,Coming year",アッチョリケ,,26
427,All Year Every Year,Professor P,,26
428,This Year Next Year,The Honeycombs,,26
429,This Year. Next Year,The Honeycombs,,26
430,"Year In, Year Out",your best friend jippy,,26
431,Year After Year (live),Flamborough Head,,26
432,"Year Waxing, Year Waning",Alasdair Roberts,,26
433,Itch Year Each Year,Mi Mye,,26
434,"Year In, Year Out",Chang Gui Duo,,26
435,"Year In, Year Out",Bing Crosby,,26
436,"Year In, Year Out",Entombed,,26
437,Year in Year Out,Entombed,,26
438,우리끼리 2021 (Words Don’t Come Easy 2021),MAMAMOO,,25
439,음오아예 2021 (Um Oh Ah Yeh 2021),MAMAMOO,,25
440,恋愛観測 -2021真夏のエンディング ver.-,2021真夏のSingers,,25
441,恋愛観測 -2021真夏のエンディング ver.-,2021真夏のSingers,,25
442,The Space Fugue,Light Entanglement Machine 2021,,25
443,Nucleosynthesis,Light Entanglement Machine 2021,,25
444,The First Light,Light Entanglement Machine 2021,,25
445,Missing Android,Light Entanglement Machine 2021,,25
446,Machine Inteligence,Light Entanglement Machine 2021,,25
